Date,Open,High,Low,Close,Adj Close,Volume
1/2/1963,5.2,5.2,5.123333,5.13,0.41058,2387200
1/3/1963,5.14,5.286667,5.14,5.286667,0.423118,1120000
1/4/1963,5.293334,5.343333,5.293334,5.293334,0.423652,1536000
1/7/1963,5.293334,5.343333,5.24,5.25,0.420184,880000
1/8/1963,5.293334,5.38,5.293334,5.38,0.430588,1803200
1/9/1963,5.38,5.433333,5.35,5.383333,0.430855,1907200
1/10/1963,5.396667,5.453333,5.396667,5.42,0.43379,1547200
1/11/1963,5.42,5.436666,5.386667,5.436666,0.435123,1347200
1/14/1963,5.436666,5.53,5.436666,5.523334,0.44206,2472000
1/15/1963,5.523334,5.573333,5.5,5.533333,0.44286,2080000
1/16/1963,5.526667,5.526667,5.426667,5.446667,0.435924,1264000
1/17/1963,5.456666,5.53,5.456666,5.516667,0.441527,1211200
1/18/1963,5.516667,5.54,5.473333,5.5,0.440193,851200
1/21/1963,5.5,5.52,5.446667,5.52,0.441793,875200
1/22/1963,5.52,5.583333,5.52,5.53,0.442594,928000
1/23/1963,5.53,5.553333,5.513333,5.523334,0.44206,659200
1/24/1963,5.523334,5.58,5.52,5.546667,0.443927,928000
1/25/1963,5.546667,5.58,5.52,5.58,0.446595,696000
1/28/1963,5.596667,5.66,5.596667,5.66,0.452998,1587200
1/29/1963,5.66,5.66,5.62,5.623333,0.450063,736000
1/30/1963,5.623333,5.63,5.573333,5.593333,0.447662,720000
1/31/1963,5.593333,5.653333,5.573333,5.65,0.452198,995200
2/1/1963,5.65,5.665,5.64,5.65,0.452198,539200
2/4/1963,5.65,5.656667,5.596667,5.603333,0.448463,627200
2/5/1963,5.603333,5.623333,5.566667,5.613333,0.44937,760000
2/6/1963,5.613333,5.65,5.576667,5.576667,0.446434,699200
2/7/1963,5.586667,5.633333,5.586667,5.586667,0.447235,648000
2/8/1963,5.586667,5.62,5.573333,5.6,0.448302,600000
2/11/1963,5.6,5.61,5.57,5.57,0.445901,456000
2/12/1963,5.57,5.58,5.51,5.58,0.446702,912000
2/13/1963,5.58,5.6,5.566667,5.566667,0.445634,627200
2/14/1963,5.568333,5.61,5.568333,5.57,0.445901,840000
2/15/1963,5.57,5.596667,5.566667,5.583333,0.446968,568000
2/18/1963,5.583333,5.593333,5.57,5.571667,0.446034,448000
2/19/1963,5.571667,5.576667,5.523334,5.526667,0.442432,760000
2/20/1963,5.513333,5.513333,5.46,5.48,0.438696,899200
2/21/1963,5.48,5.48,5.413333,5.47,0.437895,840000
2/25/1963,5.466667,5.466667,5.386667,5.386667,0.431224,603200
2/26/1963,5.386667,5.456666,5.37,5.423333,0.434159,808000
2/27/1963,5.423333,5.455,5.4,5.403333,0.432559,435200
2/28/1963,5.403333,5.406667,5.32,5.33,0.426688,1120000
3/1/1963,5.33,5.38,5.296667,5.296667,0.424019,1024000
3/4/1963,5.333333,5.393333,5.333333,5.38,0.43069,747200
3/5/1963,5.38,5.38,5.353333,5.356667,0.428823,456000
3/6/1963,5.356667,5.398334,5.336667,5.398334,0.432158,419200
3/7/1963,5.42,5.463333,5.42,5.45,0.436294,720000
3/8/1963,5.45,5.463333,5.426667,5.446667,0.436028,395200
3/11/1963,5.446667,5.476666,5.44,5.443333,0.43576,483200
3/12/1963,5.443333,5.463333,5.43,5.44,0.435494,347200
3/13/1963,5.44,5.47,5.44,5.45,0.436294,456000
3/14/1963,5.45,5.513333,5.433333,5.466667,0.437629,587200
3/15/1963,5.466667,5.516667,5.446667,5.51,0.441098,507200
3/18/1963,5.51,5.54,5.456666,5.46,0.437095,459200
3/19/1963,5.46,5.48,5.446667,5.466667,0.437629,408000
3/20/1963,5.473333,5.536667,5.473333,5.52,0.441898,491200
3/21/1963,5.52,5.533333,5.48,5.483333,0.438963,792000
3/22/1963,5.483333,5.53,5.48,5.523334,0.442165,424000
3/25/1963,5.523334,5.54,5.513333,5.513333,0.441364,480000
3/26/1963,5.52,5.573333,5.52,5.55,0.4443,808000
3/27/1963,5.57,5.613333,5.57,5.613333,0.44937,843200
3/28/1963,5.613333,5.643333,5.6,5.61,0.449103,819200
3/29/1963,5.61,5.63,5.6,5.613333,0.44937,480000
4/1/1963,5.613333,5.623333,5.603333,5.613333,0.44937,675200
4/2/1963,5.613333,5.63,5.566667,5.566667,0.445634,555200
4/3/1963,5.573333,5.636667,5.573333,5.63,0.450704,515200
4/4/1963,5.666667,5.731667,5.666667,5.718333,0.457776,1296000
4/5/1963,5.73,5.893333,5.73,5.893333,0.471785,1595200
4/8/1963,5.93,6.01,5.93,5.995,0.479924,1587200
4/9/1963,5.995,6.006667,5.906667,5.93,0.47472,1235200
4/10/1963,5.93,5.943333,5.826667,5.898334,0.472185,928000
4/11/1963,5.898334,5.993333,5.87,5.95,0.476321,1275200
4/15/1963,5.95,5.986667,5.906667,5.946667,0.476055,827200
4/16/1963,5.946667,5.963333,5.903333,5.903333,0.472585,648000
4/17/1963,5.903333,5.916667,5.86,5.873333,0.470184,480000
4/18/1963,5.873333,5.92,5.873333,5.873333,0.470184,288000
4/19/1963,5.906667,6,5.906667,6,0.480324,760000
4/22/1963,6.04,6.123333,6.04,6.093333,0.487796,1128000
4/23/1963,6.093333,6.146667,6.073333,6.146667,0.492065,840000
4/24/1963,6.156667,6.22,6.156667,6.166667,0.493667,851200
4/25/1963,6.166667,6.2,6.133333,6.195,0.495935,696000
4/26/1963,6.195,6.266667,6.166667,6.266667,0.501672,635200
4/29/1963,6.266667,6.326667,6.22,6.246666,0.50007,520000
4/30/1963,6.246666,6.28,6.16,6.183333,0.495,867200
5/1/1963,6.183333,6.246666,6.163333,6.2,0.496335,600000
5/2/1963,6.203333,6.256667,6.203333,6.25,0.500337,363200
5/3/1963,6.25,6.251667,6.206666,6.206666,0.496868,304000
5/6/1963,6.196667,6.196667,6.11,6.11,0.48913,587200
5/7/1963,6.11,6.163333,6.1,6.137084,0.491405,539200
5/8/1963,6.15,6.266667,6.15,6.266667,0.501781,736000
5/9/1963,6.266667,6.34,6.266667,6.273334,0.502314,1120000
5/10/1963,6.273334,6.333333,6.236667,6.333333,0.507119,467200
5/13/1963,6.33,6.33,6.27,6.283333,0.503115,376000
5/14/1963,6.283333,6.3,6.253334,6.273334,0.502314,448000
5/15/1963,6.273334,6.31,6.273334,6.293334,0.503917,520000
5/16/1963,6.293334,6.32,6.253334,6.266667,0.501781,448000
5/17/1963,6.266667,6.326667,6.216667,6.226666,0.498578,456000
5/20/1963,6.226666,6.246666,6.17,6.17,0.494041,432000
5/21/1963,6.17,6.226666,6.16,6.226666,0.498578,515200
5/22/1963,6.226666,6.32,6.206666,6.213333,0.49751,336000
5/23/1963,6.213333,6.24,6.193333,6.193333,0.495909,328000
5/24/1963,6.193333,6.23,6.16,6.173333,0.494308,288000
5/27/1963,6.166667,6.166667,6.106667,6.106667,0.488969,456000
5/28/1963,6.13,6.183333,6.13,6.133333,0.491104,448000
5/29/1963,6.173333,6.266667,6.173333,6.266667,0.501781,552000
5/31/1963,6.293334,6.38,6.293334,6.363333,0.509522,1067200
6/3/1963,6.363333,6.383333,6.31,6.31,0.505251,843200
6/4/1963,6.31,6.363333,6.293334,6.32,0.506051,579200
6/5/1963,6.32,6.346667,6.26,6.266667,0.501781,491200
6/6/1963,6.266667,6.293334,6.24,6.266667,0.501781,288000
6/7/1963,6.266667,6.273334,6.236667,6.243333,0.499913,360000
6/10/1963,6.243333,6.243333,6.16,6.163333,0.493507,659200
6/11/1963,6.173333,6.236667,6.173333,6.2,0.496443,275200
6/12/1963,6.2,6.26,6.173333,6.243333,0.499913,552000
6/13/1963,6.243333,6.32,6.16,6.18,0.494842,448000
6/14/1963,6.18,6.21,6.16,6.176667,0.494575,336000
6/17/1963,6.176667,6.18,6.113333,6.123333,0.490304,424000
6/18/1963,6.123333,6.18,6.113333,6.113333,0.489503,528000
6/19/1963,6.113333,6.13,6.086667,6.093333,0.487902,648000
6/20/1963,6.093333,6.093333,6.003334,6.063334,0.4855,1179200
6/21/1963,6.066667,6.09,6.066667,6.073333,0.4863,544000
6/24/1963,6.073333,6.096667,5.986667,5.986667,0.479361,779200
6/25/1963,5.986667,6.06,5.946667,5.956666,0.476959,672000
6/26/1963,5.956666,5.96,5.85,5.85,0.468418,1240000
6/27/1963,5.85,5.896667,5.76,5.79,0.463614,1360000
6/28/1963,5.806667,5.843333,5.806667,5.816667,0.465749,648000
7/1/1963,5.816667,5.816667,5.68,5.686666,0.45534,1488000
7/2/1963,5.713333,5.846667,5.713333,5.846667,0.468151,1168000
7/3/1963,5.856667,5.906667,5.856667,5.89,0.471621,1024000
7/5/1963,5.896667,5.933333,5.896667,5.933333,0.47509,448000
7/8/1963,5.92,5.92,5.806667,5.813334,0.465482,600000
7/9/1963,5.813334,5.91,5.79,5.878334,0.470686,648000
7/10/1963,5.866667,5.866667,5.803333,5.826667,0.46655,640000
7/11/1963,5.826667,5.866667,5.786667,5.786667,0.463347,611200
7/12/1963,5.786667,5.82,5.753334,5.753334,0.460677,568000
7/15/1963,5.753334,5.786667,5.721667,5.766667,0.461745,808000
7/16/1963,5.766667,5.81,5.763333,5.803333,0.464681,792000
7/17/1963,5.803333,5.86,5.756667,5.773334,0.462279,808000
7/18/1963,5.773334,5.796667,5.726666,5.726666,0.458542,904000
7/19/1963,5.726666,5.74,5.706666,5.723333,0.458276,707200
7/22/1963,5.723333,5.74,5.686666,5.706666,0.456941,600000
7/23/1963,5.706666,5.766667,5.69,5.69,0.455606,840000
7/24/1963,5.69,5.746666,5.67,5.713333,0.457475,627200
7/25/1963,5.713333,5.76,5.713333,5.72,0.458008,544000
7/26/1963,5.72,5.76,5.72,5.753334,0.460677,387200
7/29/1963,5.76,5.78,5.76,5.773334,0.462279,328000
7/30/1963,5.803333,5.906667,5.803333,5.906667,0.472955,1083200
7/31/1963,5.906667,5.973333,5.793334,5.793334,0.46388,1139200
8/1/1963,5.793334,5.83,5.733333,5.8,0.464414,976000
8/2/1963,5.8,5.826667,5.76,5.76,0.461212,360000
8/5/1963,5.76,5.836667,5.753334,5.836667,0.46735,400000
8/6/1963,5.836667,5.893333,5.816667,5.89,0.471728,816000
8/7/1963,5.89,5.89,5.828333,5.828333,0.466789,528000
8/8/1963,5.828333,5.886667,5.793334,5.853333,0.468791,507200
8/9/1963,5.853333,5.926667,5.846667,5.913333,0.473597,672000
8/12/1963,5.933333,5.966667,5.933333,5.94,0.475733,816000
8/13/1963,5.953333,6.06,5.953333,6.056667,0.485076,1416000
8/14/1963,6.056667,6.126667,6.006667,6.093333,0.488013,1320000
8/15/1963,6.093333,6.12,6.053333,6.053333,0.484809,875200
8/16/1963,6.053333,6.093333,6.033333,6.033333,0.483208,432000
8/19/1963,6.033333,6.066667,6.026667,6.026667,0.482674,304000
8/20/1963,6.026667,6.053333,5.953333,5.953333,0.476801,480000
8/21/1963,5.963333,6,5.963333,5.983333,0.479203,280000
8/22/1963,5.983333,6.033333,5.966667,6.033333,0.483208,491200
